epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.943,0,222.109,0,0,0,0,0,0,818.872,0,0.00012,0.00012,0.00012
2,68.7734,0,94.1683,0,0,0,0,0,0,270.835,0,0.000254852,0.000254852,0.000254852
3,101.66,0,39.5728,0,0,0,0,0,0,3597.6,0,0.00038416,0.00038416,0.00038416
4,136.148,0,21.6806,0,0,0,0,0,0,3709.44,0,0.000507924,0.000507924,0.000507924
5,170.271,0,17.414,0,0,0,0,0,0,48.8391,0,0.000626144,0.000626144,0.000626144
6,203.589,0,11.8708,0,0,0,0,0,0,65.201,0,0.00073882,0.00073882,0.00073882
7,237.502,0,6.36131,0,0,0,0,0,0,8.02868,0,0.000845952,0.000845952,0.000845952
8,269.872,0,4.04376,0,0,0,0,0,0,13.809,0,0.00094754,0.00094754,0.00094754
9,302.923,0,2.72781,0,0,0,0,0,0,3632.01,0,0.00104358,0.00104358,0.00104358
10,336.855,0,2.20525,0,0,0,0,0,0,1.83329,0,0.00113408,0.00113408,0.00113408
11,374.633,0,1.48194,0,0,0,0,0,0,1.51507,0,0.00121904,0.00121904,0.00121904
12,410.576,0,0.79422,0,0,0,0,0,0,0.21821,0,0.00129845,0.00129845,0.00129845
13,443.977,0,0.43063,0,0,0,0,0,0,0.10328,0,0.00137232,0.00137232,0.00137232
14,478.903,0,0.272,0,0,0,0,0,0,4497.59,0,0.00144064,0.00144064,0.00144064
15,512.025,0,0.21134,0,0,0,0,0,0,0,0,0.0014456,0.0014456,0.0014456
16,896.053,0,0.11839,0,0,0,0,0,0,440.933,0,0.001406,0.001406,0.001406
17,933.875,0,0.0667,0,0,0,0,0,0,0.15891,0,0.0013664,0.0013664,0.0013664
18,979.771,0,0.05217,0,0,0,0,0,0,0.15312,0,0.0013268,0.0013268,0.0013268
19,1026.84,0,0.03979,0,0,0,0,0,0,0.02718,0,0.0012872,0.0012872,0.0012872
20,7964.13,0,0.02236,0,0,0,0,0,0,0.00797,0,0.0012476,0.0012476,0.0012476
21,13996.7,0,0.01374,0,0,0,0,0,0,0.00725,0,0.001208,0.001208,0.001208
22,16595.4,0,0.00805,0,0,0,0,0,0,0.0057,0,0.0011684,0.0011684,0.0011684
23,21636.2,0,0.00449,0,0,0,0,0,0,0.00039,0,0.0011288,0.0011288,0.0011288
